split_mode,seed,model_name,split,rows,selected_base_combo,correction_method,selected_k,selected_bandwidth_scale,selected_amount,device_used,cuda_device_name,mean_3d_error_mm,median_3d_error_mm,p90_3d_error_mm,p95_3d_error_mm,max_3d_error_mm,pass_2mm_rate,pass_2p5mm_rate
v1000_only_random,8,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+trig_x2_a3e-4_g0p05+target05_trig2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,1.706831691486898,1.3696395429864041,3.1012164218325555,4.427442456496625,10.322577943201866,0.6931818181818182,0.8409090909090909
v1000_only_random,8,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+trig_x2_a3e-4_g0p05+target05_trig2_a3e-4_g0p05+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,1.9539716999459031,1.434060030482552,3.5763745605241484,5.045695707112147,11.938175828864301,0.625,0.7727272727272727
v1000_only_random,9,cuda_density_aware_local_krr,train,408,target_x3_a1e-4_g0p03+trig_x2_a1e-4_g0p03,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2728157053364355,1.0697441491779132,2.4956072649134815,3.039147462524562,5.981942711061254,0.8382352941176471,0.9019607843137255
v1000_only_random,9,cuda_density_aware_local_krr,valid,88,target_x3_a1e-4_g0p03+trig_x2_a1e-4_g0p03,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,2.1588008778699947,1.7947008651333543,4.200489214007728,5.157185845849358,6.303153027674705,0.5795454545454546,0.6818181818181818
v1000_only_random,9,cuda_density_aware_local_krr,test,88,target_x3_a1e-4_g0p03+trig_x2_a1e-4_g0p03,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,2.298326995232406,1.6616542712694404,4.831765029554752,6.2470275497765,10.666451677311475,0.5795454545454546,0.6818181818181818
v1000_only_random,10,cuda_density_aware_local_krr,train,408,target05_trig2_a3e-4_g0p05,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.3416224808076067,1.0281588479331605,2.667397479666327,3.495142629692887,5.023091471829562,0.7892156862745098,0.8700980392156863
v1000_only_random,10,cuda_density_aware_local_krr,valid,88,target05_trig2_a3e-4_g0p05,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.8924907316164934,1.6699607919035897,3.503012604280903,4.387524657342685,8.058245253183337,0.6363636363636364,0.7840909090909091
v1000_only_random,10,cuda_density_aware_local_krr,test,88,target05_trig2_a3e-4_g0p05,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.8519048818084878,1.3915883702557463,3.330381560098002,4.4896688228573565,8.336136938566149,0.6477272727272727,0.7840909090909091
v1000_only_random,11,cuda_density_aware_local_krr,train,408,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+target_x3_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2202252431208824,0.9816349848963064,2.4524700947821367,3.0977648613927617,5.099323336701369,0.8529411764705882,0.9093137254901961
v1000_only_random,11,cuda_density_aware_local_krr,valid,88,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+target_x3_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,2.025760427064355,1.5180787901850095,3.99585689384396,5.364845510903921,6.866997116345968,0.625,0.7386363636363636
v1000_only_random,11,cuda_density_aware_local_krr,test,88,target3_delta05_a1e-4_g0p03+target3_delta05_a3e-4_g0p03+target_x3_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,0.5,cuda,NVIDIA GeForce RTX 2070 SUPER,2.1884143970053844,1.630784295442909,4.135960707920284,5.444428250383536,7.786781090172202,0.5681818181818182,0.6704545454545454
v1000_only_random,12,cuda_density_aware_local_krr,train,408,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.2657796897192513,1.0280770477000327,2.4832084740860267,2.9935549694158077,5.808802518429499,0.821078431372549,0.8995098039215687
v1000_only_random,12,cuda_density_aware_local_krr,valid,88,target3_delta05_a3e-4_g0p03+trig_x2_a1e-4_g0p03+target_x2_a1e-3_g0p15,adaptive_residual,5,0.5,1.0,cuda,NVIDIA GeForce RTX 2070 SUPER,1.7497867305413308,1.5438252094326663,3.093712741257101,3.9906977396162784,7.858722210211709,0.6931818181818182,0.8295454545454546
