seed,split,model_name,device_used,cuda_device_name,alpha,gamma,k,bandwidth_scale,shrink,mean_3d_error_mm,median_3d_error_mm,p90_3d_error_mm,p95_3d_error_mm,max_3d_error_mm,pass_2mm_rate,pass_2p5mm_rate
46,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7064636259702799,0.5510712509741883,1.36401238742377,1.934685450092234,4.076202911506411,0.9573333333333334,0.98
46,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7180941636545238,0.5271336525637834,1.2941263726416654,1.773824061826582,7.507809498297953,0.9626666666666667,0.9746666666666667
47,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0880181448909358,0.8576163452272149,1.9894513754419187,2.5896134285955514,9.391524118209189,0.9025714285714286,0.9442857142857143
47,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6811974300687346,0.5154568313997177,1.1746571897898197,1.5935395965810528,6.741772386318852,0.9666666666666667,0.976
47,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7152597023734302,0.5196295866061659,1.3385004115081576,1.8005225416486654,8.955528670809286,0.96,0.9746666666666667
48,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0790451880870688,0.8508986124789546,1.964461082135693,2.563063212347212,9.79425429700163,0.9045714285714286,0.9474285714285714
48,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6926012553980466,0.5013257194000464,1.3337377150109309,1.732155036411563,7.514077663147385,0.9653333333333334,0.9786666666666667
48,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.725803064218431,0.5245866529132321,1.3928188502699221,1.9095511351502983,6.9568808453742355,0.9546666666666667,0.972
49,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0865439328030728,0.8653534558408453,1.9525735268451858,2.5926326513982922,9.827137974421516,0.9054285714285715,0.9457142857142857
49,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7178517370994775,0.5326529769399069,1.3749350943111218,1.8102708674677783,7.144833379912153,0.96,0.976
49,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7105361354830114,0.5172406408707599,1.3289516467924125,1.7883842533833678,7.066412667991811,0.9573333333333334,0.9733333333333334
